timestamp,Fecha_Satelite_UTC,Fecha_Captura_Chile,Volcan,Sensor,VRP_MW,Distancia_km,Tipo_Registro,Clasificacion Mirova,Ruta Foto,Fecha_Proceso_GitHub,Ultima_Actualizacion,Editado,Origen_Dato,Confianza_Validacion,Requiere_Verificacion,Nota_Validacion
1780030800,2026-05-29 05:00:00,2026-05-29 01:00:00,Llaima,VIIRS375,0.99,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Llaima/2026-05-29/05-00-00_Llaima_VIIRS375_VRP.png,2026-05-29 08:26:23,2026-05-29 08:26:23,NO,OCR,alta,False,"Grupo pÃ­xeles rojos Y=283 (Ã¡rea=31 pxÂ², distâ‰ˆ1.67 km)"
1778826241,2026-05-15 06:24:01,2026-05-15 02:24:01,Llaima,VIIRS375,0.08,1.88,ALERTA_TERMICA,Muy Bajo,imagenes_satelitales/Llaima/2026-05-15/06-24-01_Llaima_VIIRS375_Latest.png,2026-05-15 10:50:57,2026-05-15 21:31:00,NO,latest.php,alta,False,Validado por MIROVA latest.php
1778823002,2026-05-15 05:30:02,2026-05-15 01:30:02,Llaima,VIIRS375,0.29,0.0,ALERTA_TERMICA_OCR,Bajo,imagenes_satelitales/Llaima/2026-05-15/05-30-02_Llaima_VIIRS375_VRP.png,2026-05-15 12:02:04,2026-05-15 12:02:04,NO,OCR,alta,False,"Estrella en Y=281 (dentro lÃ­mite Y=257, distâ‰ˆ3.46 km)"
